"videoId","title","viewCount","estimatedCTR","categoryId","categoryName","hasText","textCharCount","textEntities","hasFace","faceCount","faceCoverage","objectCount","colorScore","dominantColorHex"
"TTSlo1zf90c","Can you escape Finx!? | Brawl Stars Animation",1732149,"6.28","20","Gaming",false,0,-1,false,0,"{}",0,13,"#e6b482"
"ptp5suRDdQQ","AMD, I Could Kiss You - 9070 and 9070 XT Review",1886111,"4.67","28","Gaming",true,7,2,true,1,"{}",3,24,"#0c0b0c"
"hUmS09eOQmk","i might do a video for Monster Hunter Wilds",1168012,"5.88","20","Gaming",true,20,3,false,0,"{}",0,11,"#3f301d"
"Kkt5tBHyzI8","Clone Rumble Trailer | Marvel Rivals",1020460,"6.34","20","Gaming",true,150,29,false,0,"{}",4,14,"#d8bf99"
"pc796cUTWRA","We Opened The WORST Grocery Stores Ever",1354839,"4.74","20","Gaming",true,56,11,false,0,"{}",0,20,"#9f1b35"
"NMuwMYTBB1Q","How do avid weapon enthusiasts get their resources?#swat #shortvideo #shorts #viralvideo #short #tv",11682856,"6.19","1","Entertainment",true,55,14,true,1,"{}",6,18,"#13100b"
"yUO2TxF5uh8","Adam Sandler’s Funny Advice on Swimming With His Kids #adamsandler #celebrity",13336750,"5.33","22","Entertainment",false,0,-1,true,1,"{}",6,12,"#161215"
"OCv8ZZ7EzsI","That Went South REAL Quick 😅",12882960,"6.19","20","Entertainment",true,4,1,true,1,"{}",2,11,"#383730"
"CUpOMSJ1MdU","Elon Musk Cold Open - SNL",14579011,"3.26","23","Entertainment",true,16,4,true,3,"{}",10,10,"#0a090f"
"xvKLqEiHN-I","Can Your Parents Legally Ground You?",9301549,"7.85","27","Entertainment",true,6,2,true,1,"{}",5,15,"#18130e"
"UHu6cs3ne4g","Military base active shooter scenario training‼️🤯 #military #army #combat #war",5072770,"5.91","22","Entertainment",true,40,6,true,2,"{}",2,14,"#a26243"
"dfwbXY07llY","Could you do that? #doglover #dogsoverhumans #familyevents #puppytime",9339681,"6.72","15","Entertainment",true,53,11,false,0,"{}",2,15,"#1978ef"
"ZP14QDecSjg","Guy tries to sell a world war 2 grenade! 😱",16191812,"5.85","22","Entertainment",true,54,16,true,1,"{}",7,13,"#383836"
"Aux9sRxt_Uw","This Sister Pranked Her Bro in the Most Shocking Way! 😱😂",5336418,"0.73","24","Entertainment",true,7,1,true,2,"{}",5,7,"#e2bac7"
"d08ekQIjcJc","She Was Being Targetted Until She Did This.. 🥶👏",20545869,"6.11","24","Entertainment",true,21,5,true,1,"{}",8,12,"#080d07"
"yo7_px4vXYQ","Bhad Bhabie - Ms. Whitman (Official Music Video)",11130703,"5.99","10","Music",false,0,-1,false,0,"{}",0,19,"#fa0405"
"JVDUsaqgSq0","BigXthaPlug - 2AM (Official Music Video)",1571444,"3.92","10","Music",false,0,-1,true,1,"{}",3,20,"#859887"
"tQg5-6DHxQY","Fridayy - Proud Of Me Feat. Meek Mill (Official Video)",2931832,"3.36","24","Music",false,0,-1,true,4,"{}",10,17,"#0f0c0b"
"1yZFLRJ4F0Q","Tattoo - Tito Double P (Video Oficial)",6923952,"1.98","10","Music",true,36,7,true,1,"{}",1,31,"#c6c6c6"
"mGR2M2mBJXU","Ghost - Satanized (Official Music Video)",1630677,"7.68","10","Music",false,0,-1,false,0,"{}",2,7,"#525252"
"vONxgCQWZCA","YoungBoy Never Broke Again - 5 Night [Official Video]",1616047,"6.32","10","Music",false,0,-1,true,1,"{}",5,19,"#0c110f"
